"lowtag","year_cap","cwdstatus1","cwdstatus2","cwdstatus3","cwdstatus4","postcwd","ante_cap","needsRTQ"
5113,2018,"","Not tested","","","Positive","Not tested","No"
5613,2018,"","Negative","","","0","Negative","No"
5839,2018,"","Negative","","","Negative","Negative","No"
5127,2018,"","Negative","","","0","Negative","No"
5165,2018,"","Positive","","","Positive","Positive","No"
5635,2018,"","Negative","","","Negative","Negative","No"
6919,2018,"","Negative","","","Negative","Negative","No"
6932,2018,"","Negative","","","0","Negative","No"
5617,2018,"","Negative","","","Negative","Negative","No"
5619,2018,"","Negative","","","Negative","Negative","No"
5611,2018,"","Negative","","","0","Negative","No"
6948,2018,"","Negative","","","Inconclusive","Negative","No"
6971,2018,"","Negative","","","Not tested","Negative","No"
5940,2018,"","Negative","","","0","Negative","No"
6900,2018,"","Negative","","","Negative","Negative","No"
5600,2018,"","Negative","","","Not tested","Negative","No"
5602,2018,"","Negative","","","Negative","Negative","No"
5621,2018,"","Negative","","","Negative","Negative","No"
5629,2018,"","ISF","","","0","ISF","Yes"
5633,2018,"","Negative","","","Negative","Negative","No"
5913,2018,"","Negative","","","Negative","Negative","No"
5928,2018,"","Negative","","","Not tested","Negative","No"
5965,2018,"","Negative","","","Negative","Negative","No"
6714,2018,"","Negative","","Negative","0","Negative","No"
6716,2018,"","Negative","","","Negative","Negative","No"
6718,2018,"","Negative","","","Negative","Negative","No"
6915,2018,"","Negative","","","Not tested","Negative","No"
6938,2018,"","Negative","","","Positive","Negative","No"
5911,2018,"","ISF","","","Not tested","ISF","Yes"
6702,2018,"","Negative","","","0","Negative","No"
7254,2018,"","Positive","","","Positive","Positive","No"
5105,2018,"","Negative","","","0","Negative","No"
5905,2018,"","Negative","","","Negative","Negative","No"
5907,2018,"","Negative","","","Positive","Negative","No"
6946,2018,"","ISF","","","Positive","ISF","No"
6728,2018,"","Negative","","","Negative","Negative","No"
6923,2018,"0","0","0","0","Negative","0","No"
6967,2018,"","Negative","","","Negative","Negative","No"
7266,2018,"","ISF","","","Negative","ISF","No"
5604,2018,"","Negative","","","Negative","Negative","No"
5606,2018,"","ISF","","","Negative","ISF","No"
5865,2018,"","Negative","","","Not tested","Negative","No"
6706,2018,"","Negative","","","Negative","Negative","No"
6712,2018,"","ISF","","","Positive","ISF","No"
6724,2018,"","Negative","","","0","Negative","No"
6726,2018,"","Negative","","","Not tested","Negative","No"
7252,2018,"","Negative","","","Negative","Negative","No"
7394,2018,"","Negative","","","Negative","Negative","No"
7260,2018,"","Negative","","","Negative","Negative","No"
7268,2018,"","Negative","","","Negative","Negative","No"
6708,2018,"","Negative","","","Pending","Negative","No"
6928,2018,"","Negative","","","Positive","Negative","No"
5615,2018,"","Negative","","","Negative","Negative","No"
5932,2018,"","Negative","","","Negative","Negative","No"
6021,2018,"","Negative","","","Negative","Negative","No"
7262,2018,"","Negative","","","Negative","Negative","No"
6700,2018,"","Negative","","","0","Negative","No"
5155,2018,"","Negative","","","0","Negative","No"
5936,2018,"","Negative","","","0","Negative","No"
6930,2018,"","Negative","","","Negative","Negative","No"
7264,2018,"","Negative","","","0","Negative","No"
6438,2018,"","Negative","","","0","Negative","No"
5643,2018,"","Negative","","","Negative","Negative","No"
7294,2018,"","Negative","","","0","Negative","No"
5147,2018,"","Negative","","","0","Negative","No"
6720,2018,"","Positive","","","Positive","Positive","No"
6730,2018,"","Positive","","","Positive","Positive","No"
7272,2018,"","Negative","","","Negative","Negative","No"
5639,2018,"","Negative","","","Negative","Negative","No"
6017,2018,"","Negative","","","Negative","Negative","No"
7296,2018,"","Positive","","","Positive","Positive","No"
7298,2018,"","Negative","","","Negative","Negative","No"
